30,42,60,75,80
22,66,67,87,89
30,33,40,55,88
2,8,37,38,54
31,32,54,76,89
14,30,32,37,67
9,20,47,50,78
8,27,28,33,58
19,37,49,86,89
2,16,36,37,72
21,29,58,62,71
2,19,63,72,82
16,20,41,59,60
9,27,59,72,74
37,50,69,77,81
3,4,25,29,65
41,47,77,82,84
41,50,80,83,85
1,6,62,72,75
14,16,32,53,54
7,8,69,80,84
27,36,57,71,86
4,29,33,44,73
18,35,56,88,90
7,24,36,57,70
17,24,47,68,84
12,17,45,59,75
4,10,37,42,51
11,12,28,64,81
6,15,36,38,75
3,31,39,73,81
2,9,28,30,78
22,32,51,75,83
4,32,34,36,78
17,18,40,42,58
4,16,22,48,88
3,33,53,60,61
8,36,44,55,76
31,44,55,67,73
3,19,50,59,70
34,44,55,62,75
4,51,66,74,83
33,37,40,51,52
15,22,28,41,57
36,40,52,79,80
5,14,15,56,79
5,30,72,87,88
38,45,56,63,78
7,11,16,50,86
3,18,19,60,79
6,19,31,72,81
13,35,39,42,58
5,19,21,44,69
35,36,42,47,60
1,33,49,56,69
13,63,65,66,74
21,45,52,69,83
52,55,56,64,81
19,27,40,80,87
3,7,8,16,59
44,71,73,76,84
9,33,61,72,90
50,53,63,79,86
13,35,61,64,66
8,46,56,79,84
9,29,38,80,86
24,28,34,49,56
3,10,66,69,82
8,11,13,21,43
15,23,34,44,67
12,22,28,56,60
10,24,51,57,76
9,22,55,70,79
15,28,35,65,73
1,29,34,73,88
11,17,69,71,80
38,49,73,78,83
11,62,69,74,90
4,17,19,53,61
2,15,29,73,75
36,44,47,83,89
34,45,76,77,83
13,16,46,65,69
15,22,63,81,89
17,18,66,73,90
16,35,54,65,68
17,38,39,55,85
4,12,45,65,66
19,21,42,73,87
13,37,51,59,61
11,12,35,61,76
25,38,40,55,76
3,39,40,82,83
1,6,14,18,88
5,24,30,44,57
15,17,37,48,57
25,42,48,73,87
14,27,40,52,74
5,13,21,27,81
20,25,31,60,79
4,27,29,74,85
14,41,48,50,52
52,54,65,72,88
5,21,35,62,76
27,36,37,55,57
45,54,79,81,82
16,43,56,57,86
2,32,47,61,67
14,23,72,85,86
1,8,34,74,86
16,22,62,79,90
8,13,39,43,63
18,36,65,79,89
11,24,38,39,81
22,39,49,60,70
13,49,66,75,79
7,49,63,64,72
14,20,30,55,75
14,30,47,58,77
3,10,14,30,63
21,41,45,49,63
9,14,21,55,77
52,54,72,77,83
46,65,75,84,85
1,6,18,35,79
11,24,42,59,78
31,44,71,73,82
19,29,47,54,83
10,16,25,36,56
9,62,69,83,90
21,24,26,35,71
24,56,73,89,90
20,41,44,68,71
13,14,39,81,87
40,46,63,71,77
1,3,47,76,78
28,30,35,46,83
17,26,57,59,78
3,11,24,35,77
2,4,17,25,41
9,35,42,87,88
27,37,39,57,66
25,38,51,55,85
1,18,30,69,90
11,21,32,84,85
25,30,40,55,74
28,34,36,42,86
15,22,23,70,88
1,15,26,55,59
9,34,50,63,90
4,21,26,71,83
6,27,60,71,82
40,50,70,73,89
11,13,18,39,76
15,17,34,80,90
9,12,15,49,66
4,14,27,38,41
18,42,45,72,80
5,24,59,62,86
10,23,61,68,72
3,18,20,71,81
14,16,28,46,58
2,24,26,34,88
12,27,44,52,57
11,13,49,57,60
10,23,29,58,65
10,34,42,66,85
9,29,57,69,74
10,14,28,35,41
16,51,69,78,87
29,55,64,77,87
11,36,38,79,89
7,8,24,56,85
10,53,54,65,71
4,44,47,63,89
53,57,62,82,90
3,11,28,43,75
4,8,18,86,89
27,33,39,65,83
3,15,16,56,89
5,16,30,50,55
4,7,56,71,83
20,27,63,81,82
2,23,26,27,50
14,24,64,74,81
32,37,48,70,87
2,38,40,50,84
1,33,42,65,70
7,16,33,65,78
11,20,44,46,88
3,40,57,75,83
22,23,31,42,73
34,41,61,76,84
22,31,53,67,84
33,45,57,73,88
1,25,38,71,74
11,27,69,72,77
31,52,55,59,62
5,14,36,46,54
2,9,39,69,75
9,22,24,49,88
9,13,29,33,64
9,13,16,39,67
10,13,28,52,65
11,24,31,60,84
1,15,43,44,51
1,23,24,39,62
26,34,66,67,83
9,12,36,51,60
4,41,56,84,85
16,43,48,76,86
2,29,31,43,85
27,43,53,74,75
18,22,29,47,51
4,16,22,39,69
5,19,26,62,64
7,22,79,86,88
11,25,57,79,86
26,31,33,36,37
20,44,52,74,85
14,32,53,70,86
7,11,15,66,79
4,7,31,54,57
17,21,57,62,71
20,43,53,54,58
10,16,29,34,42
27,33,38,71,81
2,38,44,61,76
1,13,33,46,54
25,66,76,77,90
31,37,66,73,77
1,7,17,40,81
3,4,32,83,90
4,9,13,32,70
2,54,66,78,81
4,28,58,59,85
1,6,20,33,38
25,29,48,66,89
15,23,41,67,73
1,2,16,51,90
4,43,61,77,80
11,34,41,56,69
9,12,35,56,58
9,14,15,26,45
1,11,21,29,81
9,16,26,73,75
16,24,33,54,84
1,6,8,59,71
15,28,51,52,73
4,27,29,62,72
18,19,54,57,84
5,35,47,66,78
6,32,57,66,77
55,61,63,86,90
60,73,75,82,86
15,19,45,63,68
21,38,46,61,65
3,25,48,55,80
6,28,33,41,45
